Plate,Well,Ligand,Concentration (ng/ml),Timepoint (h)
1,C04,t0_ctrl,t0_ctrl,0
1,C05,t0_ctrl,t0_ctrl,0
1,C06,t0_ctrl,t0_ctrl,0
1,C07,t0_ctrl,t0_ctrl,0
1,C08,t0_ctrl,t0_ctrl,0
1,C09,t0_ctrl,t0_ctrl,0
1,C10,t0_ctrl,t0_ctrl,0
1,D04,t0_ctrl,t0_ctrl,0
1,D05,t0_ctrl,t0_ctrl,0
1,D06,t0_ctrl,t0_ctrl,0
1,D07,t0_ctrl,t0_ctrl,0
1,D08,t0_ctrl,t0_ctrl,0
1,D09,t0_ctrl,t0_ctrl,0
1,D10,t0_ctrl,t0_ctrl,0
1,E04,t0_ctrl,t0_ctrl,0
1,E05,t0_ctrl,t0_ctrl,0
1,E06,t0_ctrl,t0_ctrl,0
1,E07,t0_ctrl,t0_ctrl,0
1,E08,t0_ctrl,t0_ctrl,0
1,E09,t0_ctrl,t0_ctrl,0
1,E10,t0_ctrl,t0_ctrl,0
2,C04,EGF,10,1
2,C05,HGF,40,1
2,C06,OSM,10,1
2,C07,IFNg,20,1
2,C08,BMP2,20,1
2,C09,TGFb,10,1
2,C10,control,0,1
2,D04,EGF,10,1
2,D05,HGF,40,1
2,D06,OSM,10,1
2,D07,IFNg,20,1
2,D08,BMP2,20,1
2,D09,TGFb,10,1
2,D10,control,0,1
2,E04,EGF,10,1
2,E05,HGF,40,1
2,E06,OSM,10,1
2,E07,IFNg,20,1
2,E08,BMP2,20,1
2,E09,TGFb,10,1
2,E10,control,0,1
3,C04,EGF,10,4
3,C05,HGF,40,4
3,C06,OSM,10,4
3,C07,IFNg,20,4
3,C08,BMP2,20,4
3,C09,TGFb,10,4
3,C10,control,0,4
3,D04,EGF,10,4
3,D05,HGF,40,4
3,D06,OSM,10,4
3,D07,IFNg,20,4
3,D08,BMP2,20,4
3,D09,TGFb,10,4
3,D10,control,0,4
3,E04,EGF,10,4
3,E05,HGF,40,4
3,E06,OSM,10,4
3,E07,IFNg,20,4
3,E08,BMP2,20,4
3,E09,TGFb,10,4
3,E10,control,0,4
4,C04,EGF,10,8
4,C05,HGF,40,8
4,C06,OSM,10,8
4,C07,IFNg,20,8
4,C08,BMP2,20,8
4,C09,TGFb,10,8
4,C10,control,0,8
4,D04,EGF,10,8
4,D05,HGF,40,8
4,D06,OSM,10,8
4,D07,IFNg,20,8
4,D08,BMP2,20,8
4,D09,TGFb,10,8
4,D10,control,0,8
4,E04,EGF,10,8
4,E05,HGF,40,8
4,E06,OSM,10,8
4,E07,IFNg,20,8
4,E08,BMP2,20,8
4,E09,TGFb,10,8
4,E10,control,0,8
5,C04,EGF,10,24
5,C05,HGF,40,24
5,C06,OSM,10,24
5,C07,IFNg,20,24
5,C08,BMP2,20,24
5,C09,TGFb,10,24
5,C10,control,0,24
5,D04,EGF,10,24
5,D05,HGF,40,24
5,D06,OSM,10,24
5,D07,IFNg,20,24
5,D08,BMP2,20,24
5,D09,TGFb,10,24
5,D10,control,0,24
5,E04,EGF,10,24
5,E05,HGF,40,24
5,E06,OSM,10,24
5,E07,IFNg,20,24
5,E08,BMP2,20,24
5,E09,TGFb,10,24
5,E10,control,0,24
6,C04,EGF,10,48
6,C05,HGF,40,48
6,C06,OSM,10,48
6,C07,IFNg,20,48
6,C08,BMP2,20,48
6,C09,TGFb,10,48
6,C10,control,0,48
6,D04,EGF,10,48
6,D05,HGF,40,48
6,D06,OSM,10,48
6,D07,IFNg,20,48
6,D08,BMP2,20,48
6,D09,TGFb,10,48
6,D10,control,0,48
6,E04,EGF,10,48
6,E05,HGF,40,48
6,E06,OSM,10,48
6,E07,IFNg,20,48
6,E08,BMP2,20,48
6,E09,TGFb,10,48
6,E10,control,0,48
7,C04,t0_ctrl,t0_ctrl,0
7,C05,t0_ctrl,t0_ctrl,0
7,C06,t0_ctrl,t0_ctrl,0
7,C07,t0_ctrl,t0_ctrl,0
7,C08,t0_ctrl,t0_ctrl,0
7,C09,t0_ctrl,t0_ctrl,0
7,C10,t0_ctrl,t0_ctrl,0
7,D04,t0_ctrl,t0_ctrl,0
7,D05,t0_ctrl,t0_ctrl,0
